projectDisplayName,clientLogo,clientName,city,state,countryCode,sector,projectCardDescription,countryName,tagline,launchWebsite,googlePlayLink,appStoreLink,demoVideoLink_1,demoVideoLink_2,demoVideoLink_3,demoVideoLink_4,demoVideoLink_5,problem_1,problem_2,problem_3,problem_4,problem_5,problem_6,problem_7,problem_8,problem_9,problem_10,solution_1,solution_2,solution_3,solution_4,solution_5,solution_6,solution_7,solution_8,solution_9,solution_10,frontendTech_1,frontendTech_2,frontendTech_3,frontendTech_4,frontendTech_5,backendTech_1,backendTech_2,backendTech_3,backendTech_4,backendTech_5,testimonialPersonPhoto_1,testimonialPersonName_1,testimonialPersonDesignation_1,testimonialQuote_1,testimonialPersonPhoto_2,testimonialPersonName_2,testimonialPersonDesignation_2,testimonialQuote_2,testimonialPersonPhoto_3,testimonialPersonName_3,testimonialPersonDesignation_3,testimonialQuote_3,googlePlayLink2
Equine Ration Analyzer,purina.png,Purina Mills,St. Louis,Missouri,US,Food & Agriculture,"Analysis & Comparison of Horse's rations for Nutritionists and Sales team, to assist buyers in choosing the right nutritional product.",USA,,https://ration-checker.com/,,,https://youtu.be/sPye8t-7Ub0,https://youtu.be/Ak-S0-JFLHI,https://youtu.be/V2zvnbs7DUY,,,Cumbersome desktop software in use ,Only available to nutrition team for research use,No scope of collaboration to develop best feeding strategies ,Difficult to sync changes in feed or horse information ,Information gap b/w Sales and Nutrition team ,No option to customize charts and reports ,No mobile app ,Analysis of Horse Feed difficult ,,,Build application with focus on UX ,Make app available to Sales and Nutrition team with smart user access control ,Web based apps makes collaboration easy ,Notification system for users to get modification alerts ,Sales and Nutrition team accessing common data ,Custom charts and reports ,Mobile app with sleek UI and UX ,Perform & save analysis for future reference ,Build and test custom diets quickly  ,,react.png,react native.png,,,,firebase.png,nodejs.png,,,,person1.jpg,Person Name,Person Designation,Quote,,,,,,,,,
Agent Field Force App,s2c.png,Survey2Connect Pvt. Ltd.,Gurgaon,Haryana,IN,Technology Startup,"Powering Agents to undertake offline surveys for client's Customer Experience Management Platform, advancing their reach to remote locations.",INDIA,,,https://play.google.com/store/apps/details?id=com.survey2connect.field,https://apps.apple.com/in/app/survey2connect-field-force/id1458463612,https://youtu.be/YBV4J1gZSgE,,,,,No scope of conducting web based surveys in remote locations ,Poor internet major hurdle in conducting mobile based surveys ,"In places with intermittent internet connection, time to conduct surveys increased  ",Authenticity of responses filled by agents ,Difficult to implement website user behaviour analysis surveys ,Limited potential of app suite affected client acquisition ,,,,,Build mobile app with offline functioning capabilities ,Implement timer feature to verify actual time spent on survey ,Implement screen recording feature to track user behaviour on specific URLs ,Take bulk responses offline and sync when device online ,Manage all offline surveys and manage agent response quotas ,,,,,,react native.png,realm.png,,,,,,,,,,,,,,,,,,,,,
BIDCO Dairy Ration Balancer,landolakes.png,Land O' Lakes Inc.,Arden Hills,Minnesota,US,Food & Agriculture,"Enabling Cow farm owners to build, analyse and implement best feeding routines to increase cow milk productivity with optimized costs.",USA,,https://lol-bidco.com/,,,https://youtu.be/WAyhj5FGQJs,,,,,No existing tool to build feeding strategies for cows ,Without proper analysis farms may spend beyond budget to increase milk production ,Risk of feeding diets deficient or excessive in certain nutrients ,Analysis of feed as root cause not possible when milk production drops ,No way for client to share their years of experience and research outcomes with farm owners ,No way for farm owners to confidently choose the right feed for their dairy cattle ,Web based tools of no use in locations with zero to no internet connectivity ,Proprietary software too expensive for small farm owners ,,,Build an offline first web app  ,Users can analyse existing feed strategies ,Optimize feed and cost to reach a target milk production ,"Adjust parameters, and visualize their effect in real time ",Convert client's knowledge into app which can now be shared with their users ,"Sales team can perform analysis, generate reports and share with users who can't access web app ",,,,,react.png,,,,,firebase.png,,,,,,,,,,,,,,,,,
LOL Vision,landolakes.png,Land O' Lakes Inc.,Arden Hills,Minnesota,US,Food & Agriculture,Build detalied Image datasets for multiple Machine Vision applications.,USA,,https://lol-vision.ai/,,,,,,,,No public dataset available for custom Computer Vision applications ,"Even if open-source images available, difficult to mimic actual use case conditions ",Difficult to find free use images for commercial applications ,Difficult to control quality of open-source images thus limiting the training data ,"Client had Computer Vision ideas for wide variety of animal species. Again, difficult to find images for uncommon species. ",Client had some images with them but without annotations ,Client wanted to collect some metadata along with images as well for various ideas ,Clicking fresh images possible. But cumbersome for users to transfer to Cloud along with metadata ,Internet connectivity an issue in remote farms where most images would be clicked ,,Build a mobile app with offline image capturing ,Sync images when device online ,Add metadata while browsing images one by one ,Implemented Machine Learning based Image Acceptance Algorithm to control quality of input images ,Web app to allow users to upload old images ,Web and mobile apps allowed easy collaboration leading to large image datasets very quickly ,Use same apps for multiple species. Switch seamlessly between species ,,,,react.png,react native.png,,,,firebase.png,aws.png,nodejs.png,python.png,,,,,,,,,,,,,,
Customer Experience Apps Suite,4sight.png,4Sight Global (Halagig),Dubai,,UAE,Marketing,Empower Users to provide critical market insights to companies while earning rewards and benefits.,UAE,,https://halagig-client-development.web.app/app,,,,,,,,Getting real-time feedback from customers ,Evaluation of sales channels and franchise stores through the eyes of customer ,Building an efficient feedback network to improve products and services ,Big chunk of population with time and potential not able to contribute to economy ,,,,,,,Develop a product that Incentivises survey undertaking,Allows onboarding of users as agents to conduct mystery shopping assignments,Let's a company get real-time feedback on its offerings ,Let's a company optimize and evaluate sales and marketing strategies ,Let's users work and earn part-time as per their convenience,,,,,,react.png,react native.png,,,,hasura.png,aws.png,postgresql.png,graphql.png,nodejs.png,,,,,,,,,,,,,
Platform for Exhibition Digitisation,xhibit.png,Revin Finserv (Xhibit),Aurangabad,Maharashtra,IN,Technology Startup,"Product allowing Exhibitors and Visitors, easy information exchange, smooth post-exhibition data access, and optimized lead generation.",INDIA,,,https://play.google.com/store/apps/details?id=com.xhibit.visitor,,https://www.youtube.com/watch?v=fs6upMw5Tys&feature=youtu.be,,,,,Brochure printing huge wastage of resources for Exhibitors ,Printed brochures pile up quickly and become too cumbersome for exhibition visitors to manage ,Difficult to retrieve information from brochures when needed in future ,Making notes and remembering interactions tiresome while visiting big exhibitions ,Similarly for Exhibitors generating good leads is difficult from huge number of visitors ,Exhibition specific application to solve such problems available in market but no common solution ,Tiresome to track relevant exhibitions happening in immediate future ,,,,Brochure digitisation will save both money and paper ,"Easy to annotate digital brochures, search and find relevant information ",All data from all exhibitions and booths in a single app suite ,"Allow users to take quick notes, add tags for future reference ",Allow communication between exhibitor and visitor via the apps  ,Track all present and upcoming exhibitions. Save favorites. ,,,,,react.png,react native.png,,,,nodejs.png,graphql.png,postgresql.png,aws.png,,,,,,,,,,,,,,
Diet Recommendation App POC,mazuri.png,Mazuri Exotic Animal Nutrition,St. Louis,Missouri,US,Food & Agriculture,POC of Diet Recommendation for Exotic Animals via web app and ChatBot and platform for defining & visualizing complex diet rules.,USA,,https://ecl80-demo.web.app/,,,,,,,,No platform in use to engage with customers,No platform to share decades of diet recommendation knowledge with customers,"Lack of a tool to build, test and visualize complex relationships between different criteria that impact diet recommendation",Desire to develop interactive Chatbots for customers but no expertise to do so,Difficult to update & track scattered information in form of multiple excel sheets,,,,,,Build a POC to showcase various possible platform ideas,Built a diet recommendation for exotic animals chatbot ,Built a demo web app for similar diet recommendation with premium UI,"Using mockups showcases ideas to build, test and visualize diet recommendation rules",Data import using excel sheets and smart forms to bring all information on a single platform,,,,,,react.png,,,,,firebase.png,,,,,,,,,,,,,,,,,
EHR & Appointment Management App Suite,nutritoo.png,NutriToo Diet Advisory,Aurangabad,Maharashtra,IN,Health,"Allowing Nutritionist to manage appointments, build and share diet plans & better connect with patients post clinic visit.",INDIA,,https://app.nutritoo.in/auth/login,,,https://www.youtube.com/watch?v=c3LqZnq8wYk,https://www.youtube.com/watch?v=0nVc6T_nHb0,,,,"Difficult to manage patient appointments, cancellations",Proprietary software too expensive,Proprietary software do not satisfy many custom requirements,No way to engage with patients post clinic visit,No way to ensure that patients remember to adhere to their diet plans,"Without a software, lots of repeat work in preparing similar diet plans",,,,,Build a web based tool for nutritionist and receptionist,"Receptionist app can manage appointments, cancellations",Allowed client to to test features and entertain several custom requests,Implemented automated emails & SMS diet reminders for patients,Feature to save multiple diet plan templates,Dietary information of several food items available at click of a button,,,,,react.png,,,,,nodejs.png,graphql.png,postgresql.png,aws.png,,,,,,,,,,,,,,
Book Doctors’ Time,bookdoctorstime.png,Oasis Technologies,Pune,Maharashtra,IN,Health,Search and Book appointments for various speciality Doctors and Hospitals.,INDIA,,https://bookdoctorstime.com/,,,,,,,,Lack of a platform for searching specialist doctors/hospitals,Lack of a platform for booking appointments with specialist doctors/hospitals,,,,,,,,,A mobile responsive website with city and locality wise search,Filter doctors/hospitals based on speciality to curate search results,View available slots and book appointment accordingly in a few steps,,,,,,,,php.png,,,,,php.png,,,,,,,,,,,,,,,,,
Cloud ERP Solution,tejas-canvassing.png,Tejas Canvassing,Bengaluru,Karnataka,IN,Commodities Trading,"Manage vendor and client orders, payments and billing information digitally, resulting in 10-fold increase in efficiency.",INDIA,,https://app.tejasc.in/admin,,https://apps.apple.com/in/app/tejas-canvassing/id1440597537,https://www.youtube.com/watch?v=3irK-fbPPzc,https://www.youtube.com/watch?v=_LQ9OMhf-ec,,,,Client spent half day everyday to visit merchants to collect order on paper,"Additional time spend on transferring orders to a notebook, compile and place order with rice mills",Tracking of orders very difficult,"Difficult to manage order receipt, billing and payments from merchants and to rice mills","All information present in notebooks, making it difficult to track and retrieve it",Manpower & time wastage in maintaining operational data in an inefficient manner,No scope of analytics and removing inefficiencies in operations,,,,Mobile app to allow client to take orders remotely,Allow client to send orders via the mobile app,Allow tracking of order on mobile and web app,"Use mobile and web app to see order, payments history for merchants and rice mills",Simple UX and UI to allow users to begin using the app on Day 1,Monitor data on app to give insights to client,,,,,react.png,react native.png,,,,nodejs.png,graphql.png,postgresql.png,aws.png,,,,,,,,,,,,,,
Cloud ERP Solution,sarda.png,Bhagwati Rice & Agro Industries,Gadchiroli,Maharashtra,IN,Manufacturing,"Platform for managing inward, outward shipments, manufacturing process, inventory, buyer & seller information and integration with billing software.",INDIA,,https://bhagwati.sardagrp.com/,,,https://www.youtube.com/watch?v=UyHRkpiQVDY&feature=youtu.be,https://www.youtube.com/watch?v=B9A_z0qsTeI&feature=youtu.be,,,,All inward and outward shipment information available in notebooks. Difficult for Client to review,"Inward shipment processing time huge, having to manage multiple vehicles’ weighing, shipment unloading and noting of shipment details on several different notebooks",Difficult to keep track of seller and buyer orders and payments,"All information present in notebooks, making it difficult to track and retrieve it",Manpower & time wastage in maintaining operational data in an inefficient manner,Inaccuracies in noting weight values resulting in wrong bill amounts,"No real-time inventory management, resulting in time and resource mismanagement",No scope of analytics and removing inefficiencies in operations,,,Web app to create all inward and outward shipment entries,Make all information readily available for Client’s perusal in tabular format with easy search and sort options,Easy to track status of various inward and outward shipments with monitoring dashboard,Simple UX and UI to allow easy on-boarding of users,"Integration of web app with weighing machine, to remove possibility of fraud",Integration of web app with CCTV to attach images with relevant entries for Client’s perusal,Generate bill PDFs for quick print and sharing,,,,react.png,,,,,nodejs.png,graphql.png,postgresql.png,aws.png,,,,,,,,,,,,,,
